Date,Region,Product,Category,Segment,Units,Unit Price,Revenue
2025-07-15,West,Summit Tent,Outdoor,Enterprise,9,250.05,2250.45
2025-02-02,North,Vector Keyboard,Electronics,Enterprise,6,81.71,490.26
2025-05-08,North,Ember Skillet,Kitchen,Enterprise,9,58.42,525.78
2025-04-24,North,Brew Kettle,Kitchen,Enterprise,8,36,288
2025-05-19,North,Vector Keyboard,Electronics,Business,8,75.39,603.12
2025-07-01,East,Trail Backpack,Outdoor,Business,7,95.29,667.03
2025-10-07,West,Pulse Headphones,Electronics,Enterprise,4,137.94,551.76
2025-04-01,South,Aurora Lamp,Home,Consumer,8,46.46,371.68
2025-04-18,East,Trail Backpack,Outdoor,Enterprise,6,91.14,546.84
2025-02-08,North,Ember Skillet,Kitchen,Enterprise,3,62.71,188.13
2025-03-12,North,Aurora Lamp,Home,Consumer,4,49.42,197.68
2025-12-12,South,Vector Keyboard,Electronics,Business,6,71.46,428.76
2025-10-13,West,Nimbus Chair,Home,Enterprise,11,198.98,2188.78
2025-08-14,South,Nimbus Chair,Home,Consumer,3,190.52,571.56
2025-04-28,West,Trail Backpack,Outdoor,Consumer,12,90.51,1086.12
2025-08-04,North,Brew Kettle,Kitchen,Enterprise,5,41.19,205.95
2025-08-25,South,Nimbus Chair,Home,Business,1,204.29,204.29
2025-05-20,East,Aurora Lamp,Home,Consumer,6,48.49,290.94
2025-12-01,West,Ember Skillet,Kitchen,Business,13,59.28,770.64
2025-06-15,North,Nimbus Chair,Home,Consumer,4,207.55,830.2
2025-08-07,East,Vector Keyboard,Electronics,Enterprise,9,75.16,676.44
2025-01-16,West,Summit Tent,Outdoor,Consumer,8,270.88,2167.04
2025-03-01,North,Nimbus Chair,Home,Business,3,199.19,597.57
2025-04-02,North,Vector Keyboard,Electronics,Consumer,8,71.25,570
2025-11-03,East,Nimbus Chair,Home,Enterprise,6,184.43,1106.58
2025-07-12,East,Summit Tent,Outdoor,Enterprise,5,239.64,1198.2
2025-08-23,West,Pulse Headphones,Electronics,Consumer,2,139.07,278.14
2025-07-17,West,Brew Kettle,Kitchen,Enterprise,11,35.49,390.39
2025-05-12,North,Pulse Headphones,Electronics,Enterprise,7,137.85,964.95
2025-09-19,North,Brew Kettle,Kitchen,Business,4,36.37,145.48
2025-03-01,North,Summit Tent,Outdoor,Consumer,2,258.3,516.6
2025-02-05,North,Nimbus Chair,Home,Enterprise,6,183.31,1099.86
2025-05-20,South,Summit Tent,Outdoor,Enterprise,6,244.48,1466.88
2025-01-02,North,Vector Keyboard,Electronics,Business,2,82.89,165.78
2025-09-11,North,Vector Keyboard,Electronics,Business,7,73.68,515.76
2025-08-24,South,Ember Skillet,Kitchen,Consumer,6,54.32,325.92
2025-12-15,East,Vector Keyboard,Electronics,Business,11,86.26,948.86
2025-01-02,East,Vector Keyboard,Electronics,Business,2,80.93,161.86
2025-03-08,East,Pulse Headphones,Electronics,Consumer,5,127.87,639.35
2025-02-19,East,Brew Kettle,Kitchen,Consumer,7,41.85,292.95
2025-09-19,South,Aurora Lamp,Home,Enterprise,6,53.65,321.9
2025-04-19,South,Ember Skillet,Kitchen,Enterprise,6,53.82,322.92
2025-08-28,North,Nimbus Chair,Home,Business,2,205.17,410.34
2025-04-19,East,Summit Tent,Outdoor,Business,3,233.54,700.62
2025-08-17,East,Summit Tent,Outdoor,Enterprise,9,271.82,2446.38
2025-02-27,North,Ember Skillet,Kitchen,Consumer,7,57.77,404.39
2025-04-01,South,Trail Backpack,Outdoor,Enterprise,3,86.26,258.78
2025-04-12,South,Aurora Lamp,Home,Business,3,51.25,153.75
2025-10-26,North,Vector Keyboard,Electronics,Consumer,5,84.45,422.25
2025-03-08,West,Vector Keyboard,Electronics,Business,11,81.06,891.66
